scenario,year,demand
Reference,2020,479
Reference,2025,479
Reference,2030,483
Reference,2035,506
Reference,2040,534
Reference,2045,567
Reference,2050,595
Reindustrialisation,2020,475
Reindustrialisation,2025,485.2
Reindustrialisation,2030,495.4
Reindustrialisation,2035,531.35
Reindustrialisation,2040,567.3
Reindustrialisation,2045,616.15
Reindustrialisation,2050,665
Sobriete,2020,475
Sobriete,2025,465.4
Sobriete,2030,455.8
Sobriete,2035,466.75
Sobriete,2040,477.7
Sobriete,2045,492.7
Sobriete,2050,507.7
Electrification+,2020,475
Electrification+,2025,471.5
Electrification+,2030,467.9
Electrification+,2035,481.2
Electrification+,2040,494.5
Electrification+,2045,511.2
Electrification+,2050,527.9