hour,residential_space_weekday_BDEW,residential_space_weekend_BDEW,residential_space_valentin,residential_space_weekday_percentage_BDEW,residential_space_weekend_percentage_BDEW,residential_space_percentage_valentin,residential_space_percentage_RTE
0,0.543784331,0.539184641,1850,0.02265768,0.022466027,0.039810631,0.035
1,0.569049623,0.564153437,1750,0.023710401,0.023506393,0.037658705,0.039
2,0.562402321,0.557549412,1800,0.02343343,0.023231225,0.038734668,0.041
3,0.612035187,0.607458897,1850,0.025501466,0.025310787,0.039810631,0.042
4,0.821008923,0.818845184,1900,0.034208705,0.034118549,0.040886594,0.046
5,1.228707399,1.231567784,1950,0.051196142,0.051315324,0.041962556,0.05
6,1.327953506,1.334987431,2050,0.055331396,0.055624476,0.044114482,0.055
7,1.253304887,1.258409595,2120,0.052221037,0.052433733,0.045620831,0.058
8,1.204661539,1.206562128,2250,0.050194231,0.050273422,0.048418334,0.053
9,1.151142537,1.152931252,2100,0.047964272,0.048038802,0.045190445,0.049
10,1.098291437,1.098773973,2000,0.045762143,0.045782249,0.043038519,0.045
11,1.060207999,1.059853429,1850,0.044175333,0.04416056,0.039810631,0.041
12,1.043048347,1.042552787,1700,0.043460348,0.043439699,0.036582742,0.037
13,1.023765877,1.023457324,1550,0.042656912,0.042644055,0.033354853,0.034
14,1.025035582,1.024118767,1600,0.042709816,0.042671615,0.034430816,0.03
15,1.041906804,1.040736905,1650,0.043412783,0.043364038,0.035506779,0.033
16,1.088660727,1.087136534,1800,0.045360864,0.045297356,0.038734668,0.037
17,1.139189174,1.137787579,2000,0.047466216,0.047407816,0.043038519,0.042
18,1.181370846,1.181579616,2100,0.049223785,0.049232484,0.045190445,0.046
19,1.204872195,1.206668682,2150,0.050203008,0.050277862,0.046266408,0.041
20,1.188359461,1.19116298,2200,0.049514978,0.049631791,0.047342371,0.037
21,1.084100608,1.087554828,2150,0.045170859,0.045314785,0.046266408,0.034
22,0.888737887,0.889306217,2100,0.037030745,0.037054426,0.045190445,0.033
23,0.658402804,0.657660619,2000,0.02743345,0.027402526,0.043038519,0.041